MonthlyDisposableIncome,MonthlyLoanInstallment,YearOfBirth,Collateral,MaritalStatus,DaysPastDue
5296,1317,'1991',Yes,1,0
4197,1387,'1981',Yes,1,0
2670,1294,'1984',Yes,1,93
3366,1189,'1990',Yes,1,0
2802,1256,'1969',Yes,1,97
3260,1142,'1974',Yes,1,84
2710,1073,'1987',Yes,1,81
2735,969,'1985',No,0,80
3809,1272,'1987',Yes,0,0
2991,806,'1987',Yes,1,0
3890,1335,'1980',No,0,31
6001,1116,'1985',Yes,1,0
3989,829,'1979',Yes,1,0
2533,1208,'1979',Yes,1,96
4066,1088,'1983',No,0,0
3932,919,'1964',Yes,1,0
3416,826,'1980',No,1,0
2102,1300,'1981',Yes,1,102
5647,1612,'1982',No,1,0
3293,874,'1989',Yes,0,0
2711,1637,'1977',Yes,0,100
5500,1597,'1981',Yes,1,0
3991,1254,'1996',Yes,1,0
3079,1147,'1993',No,1,96
4445,1399,'1972',No,0,0
4392,1065,'1981',No,1,0
5614,978,'1982',Yes,1,0
4032,1340,'1993',Yes,1,35
3960,1147,'1984',No,0,93
1139,1035,'1972',No,0,123
3979,1237,'1965',Yes,1,0
2188,947,'1985',Yes,0,0
3861,1271,'1977',Yes,1,0
2454,1242,'1983',Yes,1,54
3864,911,'1969',No,1,0
4012,1319,'1988',Yes,1,0
4708,1153,'1985',Yes,0,0
2157,778,'1990',Yes,0,0
4929,1348,'1992',No,1,0
2926,1215,'1976',Yes,0,38
2140,1066,'1990',Yes,1,97
3136,1087,'1988',Yes,0,0
1365,1180,'1988',Yes,1,111
6302,1466,'1972',Yes,0,0
4178,995,'1978',Yes,1,0
3616,940,'1989',Yes,1,0
3338,1226,'1980',No,1,53
2322,1342,'1986',Yes,1,98
3272,1079,'1971',Yes,0,0
3864,926,'1974',Yes,1,0
3974,828,'1982',Yes,0,0
5323,1198,'1990',Yes,1,0
2776,894,'1994',Yes,0,0
2580,685,'1962',Yes,1,0
3081,1302,'1985',Yes,1,0
3653,941,'1997',Yes,1,0
4172,811,'1985',Yes,0,0
3726,807,'1974',Yes,1,0
4369,1016,'1976',No,1,0
2757,889,'1984',Yes,0,0
2792,935,'1978',No,1,86
4407,996,'1986',Yes,1,0
2959,852,'1983',No,1,91
5546,1071,'1981',No,1,0
2543,1077,'1989',Yes,0,65
4066,1335,'1967',Yes,1,23
3683,1206,'1976',Yes,1,0
1830,635,'1977',No,0,38
1989,1068,'1978',Yes,1,96
2505,1169,'1987',Yes,0,91
4660,1399,'1940',Yes,1,71
3631,1030,'1988',No,1,77
3593,1162,'1992',Yes,1,0
2431,932,'1995',Yes,0,49
3058,818,'1993',No,1,91
4386,1438,'1962',No,0,79
5673,1255,'1964',Yes,1,0
2158,968,'1980',Yes,1,3
4407,760,'1977',Yes,0,0
2796,1062,'1971',Yes,0,0
4681,1532,'1988',No,1,85
4481,1242,'1977',No,1,0
3485,1417,'1955',No,1,97
3403,1016,'1970',No,1,34
4436,723,'1959',Yes,0,0
5254,1070,'1985',Yes,1,0
1997,971,'1970',Yes,1,33
3463,1061,'1983',Yes,1,0
3620,1052,'1985',Yes,1,0
3172,1089,'1972',No,1,91
2213,1023,'1987',No,1,97
4231,934,'1966',Yes,0,0
4097,1191,'1980',Yes,0,0
2516,785,'1989',Yes,1,0
2692,1189,'1988',Yes,1,29
4916,1183,'1984',Yes,0,0
3449,1273,'1970',Yes,0,0
4946,1076,'1983',No,1,0
3928,996,'1989',No,1,7
3282,918,'1978',Yes,1,0
4953,1239,'1991',Yes,0,0
1838,1041,'1959',No,0,105
3537,1196,'1983',Yes,1,92
3085,1096,'1988',No,1,97
3750,1032,'1986',No,1,0
3934,949,'1986',No,1,0
3278,1010,'1941',Yes,1,92
2575,792,'1990',Yes,1,0
3881,1122,'1990',Yes,1,33
2744,1119,'1935',Yes,1,98
1966,1216,'1984',No,1,104
4105,1404,'1994',No,0,96
4746,1012,'1983',Yes,0,0
5511,1180,'1978',Yes,1,0
2763,1148,'1997',No,1,98
1692,1176,'1982',No,1,106
5511,1333,'1982',Yes,0,0
2656,1049,'1989',No,0,94
5435,1295,'1983',Yes,0,0
4870,857,'1970',Yes,1,0
2794,1105,'1980',Yes,1,0
3245,1053,'1984',No,1,77
5019,1109,'1977',No,0,0
1039,872,'1961',Yes,1,115
2511,1049,'1979',Yes,1,49
3544,1295,'1962',Yes,1,0
3100,1260,'1987',Yes,1,76
5974,1015,'1991',Yes,1,0
4089,1090,'1967',No,1,0
6195,1076,'1976',Yes,1,0
2194,1378,'1981',Yes,0,103
3302,1043,'1973',Yes,1,0
3289,862,'1994',Yes,0,0
4406,943,'1984',Yes,1,0
3087,574,'1990',No,1,0
3070,1024,'1985',No,1,90
5024,1396,'1981',No,0,0
4008,980,'1983',Yes,1,0
4783,1016,'1983',No,1,0
4718,1182,'1981',No,1,0
3753,1085,'1986',Yes,1,0
4408,813,'1979',No,0,0
3257,1106,'1949',Yes,0,93
5390,1447,'1964',No,1,23
3417,1417,'1980',Yes,1,0
2241,948,'1978',No,0,95
2907,1028,'1992',Yes,1,0
1360,960,'1990',Yes,0,104
3102,1086,'1978',Yes,1,0
4500,1322,'1976',No,1,93
4485,1148,'1986',No,1,72
3800,807,'1992',No,0,0
1629,1081,'1967',No,0,107
3986,1111,'1991',No,1,0
1685,905,'1987',No,1,99
1416,736,'1984',No,1,101
2920,1241,'1987',Yes,0,89
3913,1086,'1981',No,0,14
4900,1506,'1978',Yes,0,0
739,985,'1974',Yes,0,131
2406,799,'1972',Yes,1,0
4750,1292,'1973',No,1,0
3021,1088,'1986',No,1,62
3359,947,'1953',No,1,95
3813,1140,'1966',No,0,96
2866,894,'1978',Yes,1,0
4839,1574,'1992',Yes,1,0
1337,1040,'1981',No,1,116
3424,1110,'1993',Yes,1,0
3252,997,'1988',Yes,1,0
4544,1115,'1965',Yes,1,0
5445,1419,'1980',No,0,0
3720,1436,'1991',No,0,92
4406,1378,'1998',No,1,49
3431,1131,'1979',No,1,0
5304,1290,'1963',No,1,42
4177,1170,'1987',Yes,1,0
3903,1275,'1973',No,0,92
2617,790,'1985',No,1,0
2500,1058,'1982',Yes,0,91
3461,811,'1967',No,0,0
4888,1229,'1976',No,0,59
3837,1174,'1990',Yes,1,0
4950,1188,'1964',Yes,1,0
4295,1140,'1974',Yes,1,0
2943,1071,'1993',Yes,1,0
2301,934,'1963',Yes,0,91
4661,1217,'1988',No,0,0
2988,1326,'1959',Yes,1,93
4134,1113,'1994',Yes,1,0
3842,1165,'1981',Yes,1,0
3834,1265,'1980',No,1,94
3721,1290,'1986',No,0,91
3483,1002,'1991',No,0,0
4090,1476,'1965',No,0,98
3729,1144,'1987',Yes,1,0
2368,570,'1958',Yes,1,0
2120,1292,'1978',Yes,1,100
3808,1455,'1976',Yes,0,0
3673,853,'1990',No,1,0
2366,882,'1942',Yes,1,92
3555,1256,'1986',No,0,97
3032,706,'1975',Yes,1,0
3976,950,'1946',No,1,75
4664,1037,'1974',Yes,0,0
4214,1151,'1962',Yes,1,0
3177,1178,'1987',Yes,1,70
4070,1161,'1988',No,1,0
4404,1041,'1984',Yes,1,0
2987,838,'1984',Yes,0,0
1388,1155,'1977',No,1,117
4393,1173,'1989',Yes,0,0
4713,824,'1978',No,1,0
2860,1451,'1988',Yes,1,22
4470,1270,'1985',Yes,1,0
3434,1214,'1989',No,0,95
3144,1373,'1974',No,0,95
3012,1094,'1961',No,1,92
4147,1123,'1995',No,1,82
1526,815,'1979',Yes,0,93
3016,863,'1971',No,0,52
3122,1001,'1979',Yes,1,0
5087,942,'1982',Yes,0,0
3708,1274,'1989',Yes,1,0
5302,1368,'1992',No,1,0
4103,1046,'1985',No,0,0
2631,1462,'1981',Yes,1,98
4627,1467,'1981',No,0,89
3139,856,'1986',Yes,1,0
2818,1298,'1986',Yes,0,93
1446,1073,'1989',Yes,1,108
4288,1143,'1978',Yes,1,0
4317,1140,'1993',No,1,0
2173,651,'1962',No,0,0
2959,984,'1985',Yes,0,0
3039,914,'1982',No,0,81
3229,1067,'1984',No,0,94
3672,1270,'1978',Yes,1,0
2497,1074,'1990',Yes,1,92
3080,924,'1973',Yes,1,0
4176,1418,'1980',No,1,68
3421,1449,'1986',No,1,97
3060,933,'1980',Yes,1,0
3058,1156,'1984',Yes,1,0
2850,1089,'1994',No,1,95
3245,1004,'1987',No,1,40
3117,852,'1973',Yes,0,0
2792,657,'1979',Yes,1,0
2578,874,'1972',Yes,1,0
2995,1058,'1977',Yes,0,3
1939,1117,'1983',Yes,1,96
5352,1528,'1973',No,0,0
1855,1209,'1948',Yes,0,108
3431,901,'1966',Yes,1,0
2766,990,'1981',Yes,1,0
4497,1105,'1994',Yes,1,0
5063,1334,'1990',No,1,0
4412,726,'1970',Yes,1,0
2535,1077,'1990',Yes,0,0
3636,1038,'1987',No,1,0
5257,1212,'1989',No,1,0
5314,1302,'1992',No,1,53
3557,1092,'1956',Yes,0,29
3401,631,'1986',No,1,0
3284,1088,'1945',Yes,1,0
3629,1127,'1979',Yes,1,0
2758,1310,'1953',Yes,0,97
4016,1047,'1985',Yes,1,0
3287,1220,'1988',Yes,0,0
3360,894,'1987',No,0,80
3295,1111,'1978',Yes,0,12
3734,934,'1986',Yes,0,0
3654,1185,'1970',No,1,93
2168,1126,'1994',No,1,100
1938,1266,'1971',Yes,0,102
2123,690,'1985',Yes,1,0
5424,1126,'1971',Yes,0,0
2471,1065,'1973',No,1,97
2570,801,'1989',Yes,0,0
3538,1189,'1990',Yes,0,0
4406,1152,'1988',Yes,1,0
4465,1170,'1991',Yes,0,0
4853,1255,'1965',Yes,0,0
3247,1390,'1930',Yes,1,99
2945,924,'1989',Yes,1,0
4383,1025,'1956',No,0,92
2562,1081,'1984',No,0,97
4532,999,'1953',Yes,1,0
2694,794,'1956',No,1,91
2699,871,'1941',Yes,1,0
4932,1272,'1996',Yes,0,0
3735,1364,'1989',Yes,1,0
3877,1034,'1963',No,1,91
1947,941,'1987',Yes,0,93
3779,1011,'1983',No,0,0
3167,1011,'1952',No,1,87
3648,901,'1970',Yes,0,0
3756,1383,'1976',No,1,92
3694,1266,'1983',No,0,36
4351,1472,'1987',No,1,0
4170,1033,'1971',No,1,21
1136,873,'1975',Yes,1,105
2914,1113,'1957',Yes,0,67
1565,1175,'1978',Yes,1,109
4051,828,'1985',No,1,0
3659,785,'1971',Yes,0,0
3223,1330,'1961',No,1,95
3770,1050,'1983',No,1,68
1903,1125,'1977',Yes,0,98
3699,1070,'1981',No,1,21
3171,1474,'1994',No,1,99
3685,738,'1984',No,1,0
2433,891,'1984',No,1,0
4127,1095,'1965',No,0,0
3952,1326,'1985',Yes,1,0
2802,769,'1973',Yes,0,0
2074,1060,'1985',Yes,1,96
3649,943,'1982',Yes,1,0
3815,1010,'1993',Yes,1,0
3737,993,'1959',Yes,1,0
3207,1098,'1974',No,1,96
2857,1197,'1952',Yes,0,95
3634,1098,'1982',No,0,92
4727,1129,'1985',No,1,0
4667,1378,'1987',Yes,1,0
3614,1105,'1980',No,1,92
1687,1460,'1989',Yes,1,112
5647,1441,'1986',No,1,0
3016,1588,'1980',Yes,0,93
1937,1081,'1973',No,1,100
4398,1236,'1982',Yes,1,0
4121,875,'1990',No,1,92
4916,1197,'1986',No,0,0
2850,906,'1974',No,1,0
4613,1027,'1973',No,1,0
3263,1553,'1973',No,1,97
2178,1174,'1984',Yes,1,98
3624,1210,'1982',Yes,1,0
4937,1487,'1986',Yes,0,0
4191,1351,'1977',Yes,0,0
3287,1097,'1983',Yes,1,0
2825,397,'1981',Yes,0,0
2049,740,'1974',No,1,75
2576,1065,'1959',Yes,1,93
4050,1066,'1995',No,0,0
1421,760,'1979',Yes,1,99
2651,905,'1987',Yes,1,0
4214,1166,'1968',No,1,85
3954,1282,'1983',Yes,1,0
5672,1218,'1978',Yes,1,0
2652,1023,'1991',Yes,1,24
4229,980,'1977',No,0,0
4047,1070,'1990',No,1,0
5785,1465,'1973',Yes,0,0
4104,831,'1968',Yes,0,0
3183,888,'1990',Yes,0,0
1509,1253,'1983',No,1,122
2811,936,'1980',No,1,94
1944,750,'1982',Yes,1,0
4505,1278,'1991',No,1,91
1729,1053,'1983',Yes,1,102
3973,1365,'1984',Yes,1,0
5533,1205,'1986',Yes,1,0
2909,804,'1993',Yes,0,0
2666,1330,'1988',Yes,1,95
3705,1190,'1993',Yes,1,0
3524,905,'1989',No,1,0
5808,1247,'1988',Yes,1,0
3334,750,'1982',Yes,0,0
4154,991,'1992',No,0,0
2658,1260,'1984',Yes,1,93
3012,1009,'1993',No,1,92
3924,1063,'1989',Yes,0,0
4419,1023,'1979',No,0,4
3928,1296,'1949',Yes,1,93
4000,1374,'1992',Yes,1,0
2610,1002,'1986',No,1,96
3187,1446,'1984',Yes,1,91
3187,944,'1993',Yes,1,0
2137,1287,'1970',No,1,104
2941,1045,'1977',Yes,1,0
2859,1441,'1993',No,1,105
3330,1252,'1978',Yes,1,0
2736,1374,'1963',Yes,0,96
1035,772,'1986',Yes,1,106
2861,1377,'1986',Yes,0,92
1805,1103,'1993',Yes,1,101
4406,1211,'1984',No,0,0
3996,1059,'1974',Yes,1,0
4556,1449,'1977',No,0,35
4369,1340,'1983',No,1,0
3748,1152,'1963',No,1,29
4054,1082,'1993',No,1,69
3566,1029,'1986',Yes,0,0
3819,1078,'1988',Yes,1,0
2717,678,'1989',Yes,0,0
2132,836,'1977',Yes,1,0
3297,1178,'1974',Yes,1,8
2801,932,'1970',Yes,0,4
3825,878,'1966',Yes,1,0
1780,636,'1974',No,0,97
3946,944,'1993',No,1,0
3076,1264,'1974',No,1,94
2835,987,'1984',Yes,0,0
2234,883,'1987',Yes,1,0
4170,872,'1997',Yes,1,0
2505,940,'1982',No,0,91
1363,866,'1992',Yes,1,96
2830,947,'1989',Yes,1,0
4517,1203,'1968',Yes,0,0
2662,1055,'1996',Yes,0,23
2559,907,'1985',Yes,1,0
2582,1041,'1989',No,0,92
4288,1347,'1971',No,1,0
3553,1443,'1979',No,0,91
3971,1371,'1982',No,0,15
4302,1204,'1994',Yes,0,0
3844,1418,'1990',No,0,95
2847,1136,'1986',Yes,1,91
4413,1195,'1977',Yes,1,0
4065,1121,'1995',No,1,0
2927,1181,'1986',Yes,0,81
5026,1402,'1991',Yes,1,0
2249,1108,'1985',Yes,0,91
2098,1064,'1969',No,1,99
1532,1070,'1993',No,0,112
4761,1352,'1985',Yes,1,0
4123,803,'1968',Yes,1,0
3501,905,'1993',No,1,0
3928,1152,'1986',Yes,0,0
3236,1615,'1975',Yes,1,91
2716,1325,'1986',Yes,0,95
4500,1182,'1990',Yes,1,0
1109,1336,'1974',Yes,0,124
4018,855,'1970',Yes,1,0
2948,1218,'1991',Yes,0,0
1898,919,'1988',No,1,99
3603,1085,'1986',Yes,1,0
2509,910,'1980',No,0,91
3692,739,'1986',No,1,0
2772,847,'1977',Yes,1,0
4364,1132,'1974',No,1,3
2686,1012,'1979',No,0,93
4685,918,'1976',No,1,0
3837,1117,'1988',No,1,93
4015,1083,'1968',Yes,1,0
4314,828,'1994',Yes,0,0
2670,1082,'1978',Yes,1,83
3566,1042,'1978',Yes,1,0
3736,1157,'1969',Yes,1,0
2198,838,'1992',No,0,94
2620,947,'1993',No,1,92
2932,1034,'1986',Yes,0,0
4748,1039,'1975',No,1,15
1928,1098,'1991',No,1,108
3784,1273,'1961',Yes,1,16
2521,1203,'1992',Yes,0,95
4065,1161,'1984',No,1,0
3226,1220,'1954',No,0,95
2101,789,'1989',Yes,1,93
2573,1254,'1975',Yes,1,97
3278,1108,'1975',Yes,0,0
5277,1406,'1992',No,1,0
3769,1021,'1992',Yes,1,0
2031,1010,'1988',No,1,94
2395,702,'1970',No,0,0
4977,983,'1986',Yes,1,0
4067,1055,'1969',No,0,71
3400,1120,'1978',No,0,30
3181,952,'1972',Yes,1,0
3234,904,'1994',No,1,63
1958,729,'1998',No,1,98
4197,1019,'1973',Yes,0,0
4876,1347,'1976',Yes,1,0
3198,1382,'1970',Yes,0,95
2683,1077,'1975',Yes,1,66
3972,1229,'1951',No,0,82
3391,1138,'1968',Yes,1,92
2389,859,'1981',No,1,95
3252,1204,'1981',Yes,0,93
4701,857,'1992',Yes,1,0
5332,1508,'1988',Yes,1,0
2581,1032,'1961',Yes,1,92
3795,1061,'1990',Yes,1,0
3280,883,'1977',Yes,1,0
4177,1180,'1990',Yes,0,0
2061,845,'1986',No,1,93
1698,1272,'1986',No,1,108
4564,1667,'1978',Yes,1,0
3314,1271,'1971',Yes,1,0
4380,1237,'1990',Yes,1,0
3248,1332,'1989',Yes,0,0
904,944,'1979',No,1,125
3204,979,'1989',Yes,0,0
5676,1015,'1968',Yes,1,0
4073,1282,'1983',Yes,1,0
4370,797,'1980',No,0,0
4739,1440,'1985',Yes,1,0
3092,1199,'1991',Yes,0,0
4362,1238,'1979',Yes,1,0
3899,902,'1949',Yes,0,0
4671,1201,'1989',Yes,0,0
3713,1167,'1988',No,1,93
4719,1530,'1995',No,1,10
2236,1287,'1989',Yes,0,98
2398,930,'1974',No,0,94
4703,1298,'1980',No,1,79
3783,1080,'1976',No,1,0
3838,971,'1965',Yes,1,0
2414,998,'1986',Yes,0,70
3152,1222,'1988',Yes,0,91
4492,1145,'1982',Yes,1,0
3649,744,'1970',Yes,0,0
2588,1226,'1976',Yes,0,0
2624,1409,'1985',No,1,100
2941,1205,'1980',No,1,50
3655,1099,'1987',Yes,0,0
2439,1082,'1964',Yes,1,94
3433,1166,'1988',Yes,1,0
4141,1240,'1990',Yes,0,0
3755,1088,'1965',Yes,0,0
3040,964,'1975',Yes,1,0
3670,1564,'1991',No,1,98
3833,1168,'1977',No,1,0
3575,1444,'1990',Yes,1,91
1660,1228,'1992',Yes,0,108
2737,1150,'1970',Yes,0,0
3263,1265,'1975',Yes,1,0
3535,849,'1991',Yes,0,0
3581,1504,'1980',Yes,0,32
3362,1037,'1979',Yes,1,0
4897,1208,'1985',Yes,1,0
3245,972,'1960',Yes,1,0
2302,1085,'1994',No,1,97
4544,1384,'1986',Yes,1,0
2295,1228,'1995',Yes,1,96
4989,1360,'1988',Yes,1,0
2894,789,'1974',No,0,0
2559,1005,'1984',Yes,1,63
3311,986,'1947',Yes,1,94
3668,894,'1988',Yes,1,0
2640,933,'1985',No,1,94
2591,1254,'1989',No,1,100
2774,717,'1989',No,0,80
2507,1312,'1987',No,1,97
4088,840,'1992',No,1,0
3764,935,'1991',No,1,0
2737,1103,'1995',No,1,97
4010,1417,'1993',No,1,95
2853,1040,'1988',Yes,1,91
2659,1017,'1978',No,1,53
3247,1335,'1975',Yes,1,13
3205,905,'1990',Yes,1,0
4004,1140,'1968',Yes,0,0
4279,1238,'1988',Yes,1,0
2399,1166,'1979',No,0,96
4711,1328,'1957',Yes,0,0
4822,1476,'1984',No,0,42
3872,1001,'1970',No,1,0
2842,986,'1977',Yes,1,46
1808,976,'1979',Yes,0,98
4628,1332,'1961',Yes,1,0
4640,1196,'1984',Yes,1,0
4993,813,'1968',No,1,0
3317,1184,'1966',Yes,1,0
2247,1254,'1985',Yes,1,94
2819,967,'1931',Yes,0,94
2907,868,'1970',No,1,3
3916,1041,'1931',Yes,1,0
4611,1007,'1945',No,1,91
4238,1038,'1978',No,1,0
5427,1577,'1979',No,1,0
3101,875,'1986',No,1,69
3381,963,'1961',Yes,1,0
3812,936,'1984',Yes,0,0
3649,1392,'1977',Yes,1,0
3942,1173,'1994',No,1,82
4502,1234,'1983',Yes,0,0
3242,1306,'1976',No,1,26
4239,1131,'1983',No,1,92
3725,1227,'1987',Yes,1,0
3717,1356,'1982',Yes,0,0
4953,1025,'1985',Yes,0,0
2297,1028,'1985',Yes,0,96
2546,1306,'1981',Yes,0,92
1142,586,'1985',No,1,102
2005,953,'1989',Yes,0,94
3080,943,'1983',Yes,0,0
3609,994,'1973',No,1,0
4502,1099,'1989',Yes,1,0
4673,1246,'1986',Yes,1,0
3183,1110,'1986',Yes,0,0
4698,982,'1986',Yes,1,0
3078,803,'1968',Yes,0,0
3660,973,'1980',No,1,0
3318,770,'1983',Yes,0,0
3640,1388,'1988',Yes,1,0
1767,628,'1963',Yes,1,12
2443,936,'1980',No,1,96
5130,1347,'1983',No,1,92
3672,1248,'1985',Yes,1,0
2687,912,'1986',Yes,0,41
3150,1105,'1978',Yes,0,0
2166,863,'1965',No,0,96
4153,1281,'1977',Yes,0,0
3993,1521,'1988',Yes,1,80
4295,1337,'1975',Yes,1,0
3322,1254,'1981',No,1,93
2342,964,'1984',Yes,1,44
4634,977,'1976',Yes,0,0
3895,1297,'1979',No,1,52
1878,835,'1985',Yes,1,27
3099,750,'1989',Yes,1,0
5015,1054,'1985',Yes,1,0
3111,1337,'1959',No,0,97
3003,1196,'1982',Yes,0,0
4142,1254,'1993',Yes,1,0
1895,1084,'1987',Yes,0,98
2512,921,'1992',Yes,1,0
2832,797,'1990',Yes,1,0
2723,1258,'1965',No,1,103
3192,1155,'1979',Yes,1,92
